file_id,filename,original_path,lines_of_code,php_version_changes,has_version_changes,selection_score,size_category
64,064_wp-diff.php,"wordpress_4.0/wp-includes\wp-diff.php",523,5,True,132.0,large
65,065_class-wp-image-editor-imagick.php,"wordpress_4.0/wp-includes\class-wp-image-editor-imagick.php",511,5,True,132.0,large
66,066_class.wp-dependencies.php,"wordpress_4.0/wp-includes\class.wp-dependencies.php",509,5,True,132.0,large
67,067_user.php,"wordpress_4.0/wp-admin\includes\user.php",442,4,True,131.0,medium
68,068_revision.php,"wordpress_4.0/wp-includes\revision.php",657,4,True,131.0,large
69,069_class-wp-image-editor-gd.php,"wordpress_4.0/wp-includes\class-wp-image-editor-gd.php",459,4,True,127.0,medium
70,070_File.php,"wordpress_4.0/wp-includes\SimplePie\File.php",292,4,True,126.0,medium
71,071_plugins.php,"wordpress_4.0/wp-admin\plugins.php",455,4,True,125.0,medium
72,072_class-wp-users-list-table.php,"wordpress_4.0/wp-admin\includes\class-wp-users-list-table.php",459,4,True,125.0,medium
73,073_site-settings.php,"wordpress_4.0/wp-admin\network\site-settings.php",173,4,True,123.0,small
74,074_site-themes.php,"wordpress_4.0/wp-admin\network\site-themes.php",185,3,True,102.0,small
75,075_my-sites.php,"wordpress_4.0/wp-admin\my-sites.php",145,3,True,102.0,small
76,076_upgrade.php,"wordpress_4.0/wp-admin\network\upgrade.php",120,3,True,102.0,small
77,077_post-thumbnail-template.php,"wordpress_4.0/wp-includes\post-thumbnail-template.php",142,3,True,102.0,small
78,078_media.php,"wordpress_4.0/wp-admin\media.php",146,3,True,100.0,small
79,079_load-styles.php,"wordpress_4.0/wp-admin\load-styles.php",153,3,True,95.0,small
80,080_site-info.php,"wordpress_4.0/wp-admin\network\site-info.php",178,3,True,94.0,small
81,081_site-new.php,"wordpress_4.0/wp-admin\network\site-new.php",153,3,True,94.0,small
82,082_import.php,"wordpress_4.0/wp-admin\import.php",132,3,True,94.0,small
83,083_shell.php,"wordpress_4.0/wp-includes\Text\Diff\Engine\shell.php",162,3,True,94.0,small
84,084_class-wp-ajax-response.php,"wordpress_4.0/wp-includes\class-wp-ajax-response.php",199,3,True,94.0,small
85,085_async-upload.php,"wordpress_4.0/wp-admin\async-upload.php",114,3,True,94.0,small
86,086_user-new.php,"wordpress_4.0/wp-admin\network\user-new.php",106,3,True,94.0,small
87,087_Restriction.php,"wordpress_4.0/wp-includes\SimplePie\Restriction.php",155,3,True,90.0,small
88,088_Credit.php,"wordpress_4.0/wp-includes\SimplePie\Credit.php",156,3,True,90.0,small
89,089_Category.php,"wordpress_4.0/wp-includes\SimplePie\Category.php",157,3,True,90.0,small
90,090_Author.php,"wordpress_4.0/wp-includes\SimplePie\Author.php",157,3,True,90.0,small
91,091_Rating.php,"wordpress_4.0/wp-includes\SimplePie\Rating.php",129,3,True,90.0,small
92,092_Copyright.php,"wordpress_4.0/wp-includes\SimplePie\Copyright.php",130,3,True,90.0,small
93,093_vars.php,"wordpress_4.0/wp-includes\vars.php",144,3,True,87.0,small
94,094_class.akismet-widget.php,"wordpress_4.0/wp-content\plugins\akismet\class.akismet-widget.php",110,3,True,86.0,small
95,095_class-wp-http-ixr-client.php,"wordpress_4.0/wp-includes\class-wp-http-ixr-client.php",97,3,True,82.0,small
96,096_class-ftp-pure.php,"wordpress_4.0/wp-admin\includes\class-ftp-pure.php",190,3,True,81.0,small
97,097_class-wp-customize-section.php,"wordpress_4.0/wp-includes\class-wp-customize-section.php",196,2,True,80.0,small
98,098_wp-load.php,"wordpress_4.0/wp-load.php",73,3,True,75.0,small
99,099_ms-files.php,"wordpress_4.0/wp-includes\ms-files.php",82,3,True,75.0,small
100,100_wp-links-opml.php,"wordpress_4.0/wp-links-opml.php",80,3,True,74.0,small
